AAPL
MSFT
AMZN
NVDA
GOOGL
META
TSLA
GOOG
BRK-B
UNH
JPM
JNJ
XOM
V
AVGO
PG
LLY
HD
MA
CVX
MRK
ABBV
PEP
COST
ADBE
KO
WMT
BAC
CSCO
TMO
CRM
MCD
PFE
ACN
NFLX
ABT
AMD
CMCSA
LIN
ORCL
DHR
WFC
DIS
TXN
PM
INTC
CAT
NEE
INTU
UNP
COP
VZ
QCOM
NKE
LOW
UPS
IBM
BA
AMGN
SPGI
BMY
HON
RTX
GE
AMAT
GS
MS
SBUX
DE
BKNG
PLD
NOW
MDT
ELV
ISRG
BLK
ADP
MDLZ
LMT
T
TJX
AXP
GILD
SCHW
SYK
ADI
MMC
CVS
LRCX
C
VRTX
AMT
ETN
CI
CB
ZTS
REGN
SLB
MO
TMUS
FI
BDX
MU
EOG
PGR
SO
CME
BSX
EQIX
PYPL
DUK
ITW
KLAC
SNPS
PANW
ATVI
AON
SHW
CSX
ICE
CL
NOC
APD
CDNS
FDX
TGT
FCX
HUM
WM
MPC
MMM
MCK
ORLY
USB
HCA
NXPI
PXD
EMR
MCO
PH
PNC
MAR
CMG
APH
ROP
NSC
GM
PSX
F
GD
EW
CARR
AJG
TT
ADM
MSI
TDG
DXCM
OXY
VLO
MCHP
ECL
AZO
CCI
SRE
ANET
ON
TEL
AIG
PCAR
PSA
CHTR
ADSK
STZ
GIS
MSCI
COF
KMB
JCI
TFC
NUE
HES
CTAS
AFL
MNST
IDXX
AEP
WMB
D
WELL
MET
HLT
IQV
CTVA
O
EXC
EL
PAYX
DHI
TRV
BIIB
ROST
SPG
DOW
CPRT
YUM
SYY
A
OTIS
ODFL
DG
FTNT
AMP
CNC
CTSH
AME
HAL
MRNA
LHX
PRU
BKR
DD
DLR
FIS
KMI
ROK
CEG
HSY
CMI
VRSK
CSGP
XEL
PPG
DVN
BK
NEM
GPN
URI
KR
FAST
EA
GWW
LEN
DLTR
VICI
ED
WBD
RSG
PEG
VMC
ABC
GEHC
ILMN
OKE
ALL
APTV
PWR
DAL
KEYS
KDP
ACGL
MLM
MTD
HPQ
KHC
WST
WEC
PCG
FTV
FANG
AWK
IR
CDW
EXR
ANSS
IT
CBRE
ZBH
EIX
RMD
ALGN
DFS
TROW
AVB
GLW
XYL
TSCO
STT
WY
LYB
EFX
SBAC
MPWR
MTB
CAH
ES
ALB
EBAY
CHD
WTW
RCL
TTWO
HIG
ULTA
STE
HPE
EQR
DTE
BAX
GPC
MKC
WBA
FICO
AEE
CTRA
RJF
WAB
ETR
IFF
CLX
DOV
INVH
DRI
FE
FITB
BR
LUV
RF
FSLR
COO
PPL
NVR
ENPH
PHM
ARE
LH
EXPD
HOLX
LVS
VRSN
TRGP
PODD
CNP
FLT
BALL
HWM
VTR
PFG
TDY
IRM
MOH
SWKS
HBAN
WAT
CINF
BG
CCL
JBHT
UAL
NTAP
CMS
ATO
MAA
TER
NTRS
NDAQ
STLD
OMC
MRO
K
IEX
BRO
J
GRMN
FDS
TSN
SJM
CF
TYL
TXT
BBY
ESS
RVTY
CBOE
CAG
CFG
EG
EQT
AVY
SWK
DGX
PTC
SYF
POOL
AMCR
EXPE
LW
SNA
AKAM
DPZ
EPAM
PAYC
MOS
WDC
PKG
TRMB
LKQ
MGM
KMX
MAS
NDSN
LDOS
IPG
EVRG
AES
IP
STX
ZBRA
APA
TECH
LNT
VTRS
AXON
BF-B
WRB
LYV
JKHY
CE
MTCH
UDR
L
TAP
KIM
CPT
HST
INCY
CZR
HRL
PEAK
CHRW
GEN
FMC
PNR
TFX
KEY
CDAY
WYNN
QRVO
NI
HSIC
CRL
AAL
GL
ETSY
SEDG
REG
TPR
EMN
BWA
ALLE
BXP
FFIV
ROL
AOS
CPB
MKTX
JNPR
HII
FOXA
PNW
NRG
BBWI
UHS
WRK
BIO
XRAY
CTLT
RHI
HAS
BEN
PARA
NWSA
WHR
FRT
IVZ
AIZ
NCLH
GNRC
CMA
SEE
VFC
DVA
ALK
ZION
OGN
RL
MHK
DXC
FOX
AAP
LNC
NWL
NWS
FTRE
